	A1	A2	A3	B1	B2	B3	C1	C2	C3	D1	D2	D3	E1	E2	E3	F1	F2	F3
OTU_3013	1	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
OTU_338	35	65	40	2	1	5	1	3	2	4	3	0	6	2	5	2	0	8
OTU_3068	0	0	2	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0
OTU_158	72	57	44	14	10	24	37	28	33	35	28	9	32	48	41	44	44	43
OTU_2116	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0
OTU_254	12	10	4	3	5	8	19	8	19	21	8	5	4	15	19	10	16	10
OTU_348	12	33	15	6	7	6	25	1	8	30	16	7	9	11	20	39	33	27
OTU_2968	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	1	0
OTU_703	2	2	3	0	1	0	4	5	1	1	6	0	0	3	1	2	2	2
OTU_2108	1	0	0	0	0	1	0	1	0	2	0	0	0	1	0	0	0	0
OTU_361	61	71	41	17	16	20	36	23	40	46	29	13	23	56	44	34	39	46
OTU_3439	0	0	0	0	0	0	0	0	0	0	0	1	0	1	3	0	1	0
OTU_1074	1	0	1	3	0	1	0	1	1	1	0	0	1	1	2	1	1	2
OTU_2500	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
OTU_261	35	42	25	14	12	21	22	25	27	20	18	6	36	39	33	36	37	44
OTU_3635	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0
OTU_251	15	25	13	1	13	7	11	7	1	21	14	5	14	15	25	22	30	33
OTU_48	184	151	143	80	67	78	87	116	108	173	94	55	158	197	185	222	219	268
OTU_651	2	2	4	5	2	5	7	3	4	6	2	2	1	2	2	4	7	11
OTU_4034	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0
OTU_2284	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
OTU_2454	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
OTU_3337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
OTU_52	57	71	43	30	38	26	112	111	103	58	55	17	68	59	72	61	87	69
OTU_722	1	2	1	0	1	5	0	0	1	12	8	2	1	0	2	21	12	19
OTU_781	2	0	2	0	1	0	4	1	6	2	3	0	1	2	3	3	0	1
OTU_1499	1	0	0	2	2	0	0	0	0	2	1	0	1	1	2	4	9	3
